Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2013-11-06,All Is Lost,2013,http://letterboxd.com/samarthbhaskar/film/all-is-lost/,4.5,,2013-11-02
2013-11-08,Promised Land,2012,http://letterboxd.com/samarthbhaskar/film/promised-land-2012/,3,,2013-11-06
2013-11-10,Dallas Buyers Club,2013,http://letterboxd.com/samarthbhaskar/film/dallas-buyers-club/,3.5,,2013-11-09
2013-11-11,Magic Mike,2012,http://letterboxd.com/samarthbhaskar/film/magic-mike/,3,,2013-11-10
2013-11-17,Olympus Has Fallen,2013,http://letterboxd.com/samarthbhaskar/film/olympus-has-fallen/,0.5,,2013-11-15
2013-11-22,Side Effects,2013,http://letterboxd.com/samarthbhaskar/film/side-effects-2013/,3,,2013-11-20
2013-11-29,The King's Speech,2010,http://letterboxd.com/samarthbhaskar/film/the-kings-speech/,3.5,,2013-11-28
2013-12-01,Oldboy,2013,http://letterboxd.com/samarthbhaskar/film/oldboy-2013/,2.5,,2013-11-30
2013-12-13,Ruby Sparks,2012,http://letterboxd.com/samarthbhaskar/film/ruby-sparks/,3,,2013-12-05
2013-12-08,Inside Llewyn Davis,2013,http://letterboxd.com/samarthbhaskar/film/inside-llewyn-davis/,4,,2013-12-07
2013-12-10,The Wolverine,2013,http://letterboxd.com/samarthbhaskar/film/the-wolverine/,1.5,,2013-12-08
2014-01-05,Don Jon,2013,http://letterboxd.com/samarthbhaskar/film/don-jon/,3,,2014-01-02
2014-01-05,American Hustle,2013,http://letterboxd.com/samarthbhaskar/film/american-hustle/,4,,2014-01-04
2014-01-05,The Past,2013,http://letterboxd.com/samarthbhaskar/film/the-past/,4.5,,2014-01-04
2014-01-06,Her,2013,http://letterboxd.com/samarthbhaskar/film/her/,5,,2014-01-05
2014-01-10,Leviathan,2012,http://letterboxd.com/samarthbhaskar/film/leviathan-2012/,3.5,,2014-01-09
2014-01-12,The Spectacular Now,2013,http://letterboxd.com/samarthbhaskar/film/the-spectacular-now/,3.5,,2014-01-11
2014-01-13,The Act of Killing,2012,http://letterboxd.com/samarthbhaskar/film/the-act-of-killing/,4.5,,2014-01-12
2014-01-27,Museum Hours,2012,http://letterboxd.com/samarthbhaskar/film/museum-hours/,4,,2014-01-25
2014-01-27,Mitt,2014,http://letterboxd.com/samarthbhaskar/film/mitt/,3,,2014-01-25
2014-01-27,The Hunt,2012,http://letterboxd.com/samarthbhaskar/film/the-hunt-2012/,4.5,,2014-01-25
2014-02-09,A Late Quartet,2012,http://letterboxd.com/samarthbhaskar/film/a-late-quartet/,3.5,,2014-02-08
2014-02-10,Flawless,1999,http://letterboxd.com/samarthbhaskar/film/flawless/,3,,2014-02-09
2014-03-09,Blue Is the Warmest Color,2013,http://letterboxd.com/samarthbhaskar/film/blue-is-the-warmest-color/,4,,2014-03-08
2014-04-07,Captain America: The Winter Soldier,2014,http://letterboxd.com/samarthbhaskar/film/captain-america-the-winter-soldier/,3.5,,2014-04-05
2014-04-07,Noah,2014,http://letterboxd.com/samarthbhaskar/film/noah/,3,,2014-04-06
2014-05-27,Like Someone in Love,2012,http://letterboxd.com/samarthbhaskar/film/like-someone-in-love/,4,,2014-05-26
2014-06-19,Obvious Child,2014,http://letterboxd.com/samarthbhaskar/film/obvious-child/,3.5,,2014-06-17
2014-07-07,Blue Ruin,2013,http://letterboxd.com/samarthbhaskar/film/blue-ruin/,4,,2014-07-06
2014-07-08,The Lego Movie,2014,http://letterboxd.com/samarthbhaskar/film/the-lego-movie/,4,,2014-07-07
2014-07-11,Bernie,2011,http://letterboxd.com/samarthbhaskar/film/bernie-2011/,4,,2014-07-10
2014-07-13,Boyhood,2014,http://letterboxd.com/samarthbhaskar/film/boyhood/,5,,2014-07-11
2014-07-13,Omar,2013,http://letterboxd.com/samarthbhaskar/film/omar/,2.5,,2014-07-12
2014-07-14,The Immigrant,2013,http://letterboxd.com/samarthbhaskar/film/the-immigrant-2013/,3,,2014-07-13
