Date,Name,Year,Letterboxd URI,Rating
2013-11-06,Gravity,2013,http://letterboxd.com/film/gravity-2013/,3.5
2013-11-06,All Is Lost,2013,http://letterboxd.com/film/all-is-lost/,4.5
2013-11-06,Captain Phillips,2013,http://letterboxd.com/film/captain-phillips/,4
2013-11-08,Promised Land,2012,http://letterboxd.com/film/promised-land-2012/,3
2013-11-10,Dallas Buyers Club,2013,http://letterboxd.com/film/dallas-buyers-club/,3.5
2013-11-11,Magic Mike,2012,http://letterboxd.com/film/magic-mike/,3
2013-11-17,Olympus Has Fallen,2013,http://letterboxd.com/film/olympus-has-fallen/,0.5
2013-11-22,Side Effects,2013,http://letterboxd.com/film/side-effects-2013/,3
2013-11-29,The King's Speech,2010,http://letterboxd.com/film/the-kings-speech/,3.5
2013-12-01,Oldboy,2013,http://letterboxd.com/film/oldboy-2013/,2.5
2013-12-01,Oldboy,2003,http://letterboxd.com/film/oldboy/,4
2013-12-08,Inside Llewyn Davis,2013,http://letterboxd.com/film/inside-llewyn-davis/,4
2013-12-10,The Wolverine,2013,http://letterboxd.com/film/the-wolverine/,1.5
2013-12-13,Ruby Sparks,2012,http://letterboxd.com/film/ruby-sparks/,3
2014-01-05,American Hustle,2013,http://letterboxd.com/film/american-hustle/,4
2014-01-05,Don Jon,2013,http://letterboxd.com/film/don-jon/,3
2014-01-05,The Past,2013,http://letterboxd.com/film/the-past/,4.5
2014-01-06,Her,2013,http://letterboxd.com/film/her/,5
2014-01-10,Leviathan,2012,http://letterboxd.com/film/leviathan-2012/,3.5
2014-01-12,The Spectacular Now,2013,http://letterboxd.com/film/the-spectacular-now/,3.5
2014-01-13,The Act of Killing,2012,http://letterboxd.com/film/the-act-of-killing/,4.5
2014-01-27,Museum Hours,2012,http://letterboxd.com/film/museum-hours/,4
2014-01-27,Mitt,2014,http://letterboxd.com/film/mitt/,3
2014-01-27,The Hunt,2012,http://letterboxd.com/film/the-hunt-2012/,4.5
2014-02-09,A Late Quartet,2012,http://letterboxd.com/film/a-late-quartet/,3.5
2014-02-10,Flawless,1999,http://letterboxd.com/film/flawless/,3
2014-03-09,Blue Is the Warmest Color,2013,http://letterboxd.com/film/blue-is-the-warmest-color/,4
2014-04-07,Noah,2014,http://letterboxd.com/film/noah/,3
2014-04-07,Captain America: The Winter Soldier,2014,http://letterboxd.com/film/captain-america-the-winter-soldier/,3.5
2014-05-27,Like Someone in Love,2012,http://letterboxd.com/film/like-someone-in-love/,4
2014-06-19,Obvious Child,2014,http://letterboxd.com/film/obvious-child/,3.5
2014-06-22,Palo Alto,2013,http://letterboxd.com/film/palo-alto/,3
2014-07-07,Blue Ruin,2013,http://letterboxd.com/film/blue-ruin/,4
2014-07-08,The Lego Movie,2014,http://letterboxd.com/film/the-lego-movie/,4
2014-07-11,Bernie,2011,http://letterboxd.com/film/bernie-2011/,4
2014-07-13,Boyhood,2014,http://letterboxd.com/film/boyhood/,5
2014-07-13,Omar,2013,http://letterboxd.com/film/omar/,2.5
2014-07-14,The Immigrant,2013,http://letterboxd.com/film/the-immigrant-2013/,3
2014-07-19,Sangre de mi sangre,2007,http://letterboxd.com/film/sangre-de-mi-sangre/,1.5
2014-07-22,Dawn of the Planet of the Apes,2014,http://letterboxd.com/film/dawn-of-the-planet-of-the-apes/,3
2014-07-23,The Comedy,2012,http://letterboxd.com/film/the-comedy/,2
2014-07-25,Slacker,1991,http://letterboxd.com/film/slacker/,3.5
2014-07-28,Wish I Was Here,2014,http://letterboxd.com/film/wish-i-was-here/,2
2014-08-04,Guardians of the Galaxy,2014,http://letterboxd.com/film/guardians-of-the-galaxy/,3
2014-08-04,Harold and Maude,1971,http://letterboxd.com/film/harold-and-maude/,4.5
2014-08-11,A Most Wanted Man,2014,http://letterboxd.com/film/a-most-wanted-man/,3
2014-08-11,It Felt Like Love,2013,http://letterboxd.com/film/it-felt-like-love/,3
2014-08-25,The One I Love,2014,http://letterboxd.com/film/the-one-i-love-2014/,3.5
2014-09-02,The Kid with a Bike,2011,http://letterboxd.com/film/the-kid-with-a-bike/,4
2014-09-04,Starred Up,2013,http://letterboxd.com/film/starred-up/,3.5
2014-09-08,The Congress,2013,http://letterboxd.com/film/the-congress-2013/,2
2014-09-08,Nymphomaniac: Vol. I,2013,http://letterboxd.com/film/nymphomaniac-vol-i/,2.5
2014-09-15,The Skeleton Twins,2014,http://letterboxd.com/film/the-skeleton-twins/,3
2014-09-15,28 Hotel Rooms,2012,http://letterboxd.com/film/28-hotel-rooms/,2.5
2014-09-16,Boogie Nights,1997,http://letterboxd.com/film/boogie-nights/,5
2014-09-19,Reservoir Dogs,1992,http://letterboxd.com/film/reservoir-dogs/,4.5
2014-10-04,Whiplash,2014,http://letterboxd.com/film/whiplash-2014/,5
2014-10-12,Gone Girl,2014,http://letterboxd.com/film/gone-girl/,3.5
2014-10-12,"Men, Women & Children",2014,http://letterboxd.com/film/men-women-children/,3
2014-10-14,Inherent Vice,2014,http://letterboxd.com/film/inherent-vice/,4
2014-10-19,Birdman,2014,http://letterboxd.com/film/birdman/,3
2014-10-28,Kill Bill: Vol. 1,2003,http://letterboxd.com/film/kill-bill-vol-1/,3.5
2014-10-28,Kill Bill: Vol. 2,2004,http://letterboxd.com/film/kill-bill-vol-2/,3
2014-11-02,Nightcrawler,2014,http://letterboxd.com/film/nightcrawler/,4
2014-11-11,Interstellar,2014,http://letterboxd.com/film/interstellar/,3
2014-12-07,Force Majeure,2014,http://letterboxd.com/film/force-majeure-2014/,3.5
2014-12-14,Top Five,2014,http://letterboxd.com/film/top-five/,3.5
2014-12-15,Citizenfour,2014,http://letterboxd.com/film/citizenfour/,2.5
2014-12-30,Only Lovers Left Alive,2013,http://letterboxd.com/film/only-lovers-left-alive/,3
2014-12-30,Life Itself,2014,http://letterboxd.com/film/life-itself/,5
2015-01-04,Selma,2014,http://letterboxd.com/film/selma/,5
2015-01-28,Frank,2014,http://letterboxd.com/film/frank-2014/,3
2015-01-28,Nebraska,2013,http://letterboxd.com/film/nebraska/,3.5
2015-02-01,Chinatown,1974,http://letterboxd.com/film/chinatown/,5
2015-02-04,Ida,2013,http://letterboxd.com/film/ida/,4
2015-02-04,Enemy,2013,http://letterboxd.com/film/enemy/,3
