Date,Name,Year,Letterboxd URI,Rating,Review,Tags,Watched Date
2013-11-10,Dallas Buyers Club,2013,http://letterboxd.com/samarthbhaskar/film/dallas-buyers-club/,3.5,Matthew McConaughey continues to make good film choices. I'm happy about this.,,2013-11-09
2013-11-11,Magic Mike,2012,http://letterboxd.com/samarthbhaskar/film/magic-mike/,3,"Kind of reminded me of Soderbergh's earlier explorations of sex and sexuality in SEX, LIES, AND VIDEOTAPE but with a more contemporary, OCEAN'S 11-y approach. This was sex for the MTV generation. SEX, LIES, and VIDEOTAPE was a more cerebral exploration or sex. Still, fun to see what a good director can do with otherwise mediocre material, acting, etc.",,2013-11-10
2013-11-17,Olympus Has Fallen,2013,http://letterboxd.com/samarthbhaskar/film/olympus-has-fallen/,0.5,"What happened to you Fuqua? I just, I just don't get it.",,2013-11-15
2013-11-22,Side Effects,2013,http://letterboxd.com/samarthbhaskar/film/side-effects-2013/,3,"I'm a sucker for Soderbergh's stuff. Although, I'm not convinced that Rooney Mara can carry a film. So far I've been largely unimpressed. ",,2013-11-20
2013-11-29,The King's Speech,2010,http://letterboxd.com/samarthbhaskar/film/the-kings-speech/,3.5,"I was convinced then, as I am now, I don't think this film deserved the Oscar attention it received. None the less, it's a fine film. ",,2013-11-28
2013-12-01,Oldboy,2013,http://letterboxd.com/samarthbhaskar/film/oldboy-2013/,2.5,"I felt like I was watching a cover band in a small bar, rather than an interpretation of one of my favorite films.",,2013-11-30
2013-12-01,Oldboy,2003,http://letterboxd.com/samarthbhaskar/film/oldboy/,4,"The original, the best.",,
2013-12-08,Inside Llewyn Davis,2013,http://letterboxd.com/samarthbhaskar/film/inside-llewyn-davis/,4,"Great to see Coen's take on the idea of failure in America in this film. Also, seeing this and FRANCES HA this year was enhanced a lot by my new life in NYC. These are two films that wouldn't be the same in any other city. ",,2013-12-07
2013-12-13,Ruby Sparks,2012,http://letterboxd.com/samarthbhaskar/film/ruby-sparks/,3,"Manic pixie dream girl to the max, but it doesn't work out, so I guess not really? Who knows. Paul Dano is great.",,2013-12-05
2014-01-05,American Hustle,2013,http://letterboxd.com/samarthbhaskar/film/american-hustle/,4,So is David O Russell gonna make anything as good as THREE KINGS ever again?,,2014-01-04
2014-01-05,Don Jon,2013,http://letterboxd.com/samarthbhaskar/film/don-jon/,3,A fine first pass at directing for JGL,,2014-01-02
2014-01-05,The Past,2013,http://letterboxd.com/samarthbhaskar/film/the-past/,4.5,"A great follow up to A SEPARATION. It was also great to see Tahar Rahim again, after A PROPHET. ",,2014-01-04
2014-01-06,Her,2013,http://letterboxd.com/samarthbhaskar/film/her/,5,"One of my favorites of 2013. This movie talked about loneliness in one of the most relatable ways, for me, at this point in my life. ",,2014-01-05
2014-01-12,The Spectacular Now,2013,http://letterboxd.com/samarthbhaskar/film/the-spectacular-now/,3.5,"Glad a movie actually took on and featured teenage alcoholism in a real way. 

During graduation one of the characters says to Sutter (the protagonist) ""well, we made it."" I immediately thought about how there's no real accomplishment mile-markers like that after high school and college graduation. As an adult, things just happen in sequence, with no real sense of separation or accomplishment. I think this makes decision making as an adult more difficult. Not a new thought of course, but a feeling this movie stirred in me. ",,2014-01-11
2014-01-13,The Act of Killing,2012,http://letterboxd.com/samarthbhaskar/film/the-act-of-killing/,4.5,Devastating.,,2014-01-12
2014-01-27,Museum Hours,2012,http://letterboxd.com/samarthbhaskar/film/museum-hours/,4,This film and Linklater's BEFORE SUNRISE make me want to walk around Vienna and have long conversations with an interesting person.,,2014-01-25
2014-01-27,Mitt,2014,http://letterboxd.com/samarthbhaskar/film/mitt/,3,A fine doc. I liked getting away from the view of Romney I had during 2008 and 2012. ,,2014-01-25
2014-01-27,The Hunt,2012,http://letterboxd.com/samarthbhaskar/film/the-hunt-2012/,4.5,Mads Mikkelsen is the man.,,2014-01-25
2014-02-09,A Late Quartet,2012,http://letterboxd.com/samarthbhaskar/film/a-late-quartet/,3.5,"On a PSH bend lately. 

Does this film have any relation to the book ""An Equal Music""? It feels very similar.",,2014-02-08
2014-02-10,Flawless,1999,http://letterboxd.com/samarthbhaskar/film/flawless/,3,More PSH.,,2014-02-09
2014-04-07,Noah,2014,http://letterboxd.com/samarthbhaskar/film/noah/,3,The least Aronofsky of the Aronofskys.,,2014-04-06
